t(s),Total retention volume 1,Total retention volume 2,Total retention volume 3
1.0,1.1748635678277814e+17,-6.220898768598045e-258,-9.97248817860504e-294
2.1,1.8080800429606275e+17,1.6666124746026685e-251,1.7129584485581012e-285
3.3100000000000005,2.3194178478105507e+17,-2.0329122641012312e-245,-1.0467568617705147e-277
4.641000000000001,2.777891188047984e+17,1.8652169232415849e-239,3.836059756900291e-270
6.105100000000002,3.209302040003054e+17,-1.8530519159554458e-233,-1.2352743777364657e-262
7.7156100000000025,3.626674005849988e+17,2.0376740594923178e-227,3.6290949383463567e-255
9.487171000000004,4.037793265888535e+17,-2.0423601676238101e-221,-8.122272495026238e-248
11.435888100000005,4.4478794441326694e+17,1.651754742734489e-215,1.2412475491827823e-240
13.579476910000007,4.860745523111561e+17,-9.786570601262052e-210,-1.1891820654367808e-233
15.937424601000009,5.27937444329489e+17,3.05775567163031e-204,5.193348867279111e-227
18.53116706110001,5.706235179148232e+17,1.2756303693449613e-198,2.642034562651751e-220
21.384283767210015,6.143469594269722e+17,-2.4083380872964538e-192,-5.350796139457497e-213
24.522712143931017,6.593009926737766e+17,1.1204632318429624e-186,2.3674330942665637e-206
27.97498335832412,7.056656676314958e+17,8.411479876376352e-181,1.5090491124877427e-199
31.772481694156536,7.536132768992191e+17,-1.456603935941097e-174,-1.9938036302398127e-192
35.949729863572195,8.033122961068259e+17,-7.196558824978598e-169,-6.7949906965841234e-186
40.544702849929415,8.549303791084151e+17,3.809151037086171e-162,2.2553853731254364e-178
45.59917313492236,9.086367356974445e+17,7.046562813011053e-156,2.391057649649808e-171
51.1590904484146,9.646041017874638e+17,-4.303662650555556e-149,-7.685121992152853e-164
57.27499949325607,1.023010441163083e+18,-8.408758154698222e-142,-7.289496627212394e-156
64.00249944258168,1.0840404739601554e+18,-1.0527126514522577e-134,-4.104091253625622e-148
71.40274938683986,1.1478870990389523e+18,5.557550029597563e-126,9.06242528023858e-139
79.54302432552385,1.214752759174275e+18,4.488487929447666e-115,2.857895372584219e-127
88.49732675807624,1.284850785880826e+18,2.1991803911636042e-104,5.122060577874627e-116
98.34705943388387,1.3584067525415342e+18,2.7751422754148534e-96,2.2222413155840383e-107
109.18176537727226,1.4356598589667246e+18,2.995087872124196e-89,7.774491795988475e-100
